name,slug,parentid,page_title,page_heading,description,tags,hide,sort_order
"Hotel & Guest Accomodations",accomodations,3,"Atlanta Hotels, Atlanta Accommodations, Hotels in Atlanta, Bed &amp; Breakfasts in Atlanta - AtlantaOccasions.com","Atlanta Hotels and Guest Accommodations","Browse our collection of Preferred Atlanta Hotels and Guest Accommodations",,0,99.00
"Invitations, Printing & Calligraphy",printing,3,"Atlanta Invitations, Atlanta Wedding Invitations, Atlanta Calligrapher, Invitations in Atlanta - AtlantaOccasions.com","Atlanta Invitations, Printing and Atlanta Calligraphy Services","Browse our collection of Preferred Atlanta Wedding Invitation, Printing and Calligraphy Specialists",,0,99.00
Lighting,lighting,3,"Atlanta Lighting Design, Atlanta Uplighting, Lighting Design in Atlanta - AtlantaOccasions.com","Atlanta Lighting Design","Browse our collection of Preferred Atlanta LIghting Designers",,0,99.00
Photobooth,photobooth,3,"Atlanta Photobooth, Atlanta Photobooth Rental, Atlanta Wedding Photobooth - AtlantaOccasions.com","Atlanta Photobooth Companies","Browse our collection of Preferred Atlanta Photobooth Companies",,0,99.00
Photographers,photographers,3,"Atlanta Wedding Photography, Atlanta Wedding Photographers, Atlanta Wedding Photojournalism, Photographers in Atlanta, Wedding Photographers in Atlanta - AtlantaOccasions.com","Atlanta Wedding Photographers and Atlanta Photographers","Browse our collection of Preferred Atlanta Wedding Photographers and Event Photography Specialists",,0,3.00
"Planning Resources",planning,3,"Atlanta Wedding Planning Services, Event Planning in Atlanta - AtlantaOccasions.com","Atlanta Planning Resources and Tools","Browse our collection of Preferred Atlanta Planning Resources and Tools",,0,99.00
"Rings & Jewelry",jewelry,3,"Atlanta Bridal Accessories, Atlanta Bridal Party Accessories, Atlanta Pearl Jewelry - AtlantaOccasions.com","Atlanta Bridal Accessories and Jewelry","Browse our collection of Preferred Atlanta Bridal Accessories and Jewelry.",,0,99.00
"Transportation & Limousine Service",transportation,3,"Atlanta Limo, Atlanta Transportation, Atlanta Limousine - AtlantaOccasions.com","Atlanta Transportation and Limousine Services","Browse our collection of Preferred Atlanta Limo and Transportation Companies",,0,99.00
"Tuxes & Men's Attire",attire,3,"Atlanta Tuxedo, Atlanta Tux Rental - AtlantaOccasions.com","Atlanta Tuxedo","Browse our collection of Preferred Atlanta Tuxedo Rental Companies.",,0,99.00
Videographers,videographers,3,"Atlanta Wedding Videographer, Videographers in Atlanta, Atlanta Wedding Video, Event Videography - AtlantaOccasions.com","Atlanta Wedding and Event Videographers","Browse our collection of Preferred Atlanta Wedding Videographers and Event Video Specialists",,0,99.00
"Wedding Dresses & Bridal Party Fashions",dresses,3,"Atlanta Bridal Stores, Atlanta Wedding Gowns, Atlanta Bridal Salons, Atlanta Bridesmaid Dresses - AtlantaOccasions.com","Atlanta Bridal Stores and Gowns","Browse our collection of Preferred Atlanta Wedding Dresses &amp; Bridal Party Fashions Specialists",,0,99.00
Uncategorized,uncategorized,0,,,,,1,99.00
